,SIVB
Price/Earnings (TTM),9.86689
Price/Sales (TTM),2.85894
Price/Book (MRQ),1.42943
Price/Cash Flow (TTM),10.03147
5yr Low,77.87
5yr High,333.74
5yr Avg Return,0.10066666666666668
EPS Growth 5yr,0.32540709999999995
Revenue Growth 5yr,0.20958210000000002
Dividend Growth 5yr,
Short Int Current Month,1882479.0
Short Int Prev Month,1771688.0
Short Int Pct of Float,0.036705999999999996
Days to Cover,3.74535
Float,51.37492
Shares Outstanding,51.54682
Institutions Holding Shares,760.0
% Held by Institutions,0.926541
FCF Growth 5yr,0.324031060931382
