,PAYX
Price/Earnings (TTM),21.88838
Price/Sales (TTM),5.86326
Price/Book (MRQ),8.7225
Price/Cash Flow (TTM),18.21534
5yr Low,41.59
5yr High,90.54
5yr Avg Return,0.07151666666666666
EPS Growth 5yr,0.10811299999999999
Revenue Growth 5yr,0.0841357
Dividend Growth 5yr,0.10438359999999999
Short Int Current Month,11218889.0
Short Int Prev Month,6937897.0
Short Int Pct of Float,0.0350623
Days to Cover,3.28639
Float,320.1278
Shares Outstanding,358.7155
Institutions Holding Shares,1432.0
% Held by Institutions,0.656305
FCF Growth 5yr,0.08285428487380105
