,PAYX
% Above Low,0.4018
% Held by Institutions,0.6563
52-Wk Range,['47.87 - 90.54']
Annual Dividend $,2.48
Annual Dividend %,0.0364
Ask,68.95
Ask Size,10800.0
B/A Ratio,0.09259259259259259
B/A Size,1000x10800
Beta,0.9
Bid,67.18
Bid Size,1000.0
Closing Price,67.11
Day Change $,-0.96
Day Change %,-0.0141
Day High,68.81
Day Low,66.9
Dividend Pay Date,2020-05-28 00:00:00
"EPS (TTM, GAAP)",3.07
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.45299999999999996
Last (size),19.0
Last (time),4:00p ET 05/08/20
Market Cap,24.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.89
Prev Close,68.07
Shares Outstanding,358.7M
Short Interest,0.0351
Today's Open,68.66
Volume,2181285.0
Volume 10-day Avg,2084363.0
Volume Past Day,(Average)
