,WU
% Above Low,0.1461
% Held by Institutions,1.1792
52-Wk Range,['17.39 - 28.45']
Annual Dividend $,0.9
Annual Dividend %,0.0463
Ask,20.23
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,0.9
Bid,18.4
Bid Size,600.0
Closing Price,19.93
Day Change $,0.48
Day Change %,0.024700000000000003
Day High,20.11
Day Low,19.58
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",2.48
Ex-dividend,2020-03-16 00:00:00
Ex-dividend Date,03/16/20
Historical Volatility,0.371
Last (size),23200.0
Last (time),6:30p ET 05/08/20
Market Cap,8.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.04
Prev Close,19.45
Shares Outstanding,410.9M
Short Interest,0.138
Today's Open,19.67
Volume,6852612.0
Volume 10-day Avg,7868935.0
Volume Past Day,(Below Average)
