,PYPL,Rating Since
newConstructs,4,2020-05-08
researchTeam,hold,2020-04-17
theStreet,buy,2017-07-05
marketEdge opinion,long,2020-05-08
marketEdge,0,2020-05-08
creditSuisse,outperform,2020-01-23
cfra,3,2016-04-16
ford,3,2019-11-29
