,PYPL
Price/Earnings (TTM),91.75322
Price/Sales (TTM),9.31017
Price/Book (MRQ),10.64934
Price/Cash Flow (TTM),59.63602
5yr Low,30.0
5yr High,147.2
5yr Avg Return,0.2789166666666667
EPS Growth 5yr,0.43224870000000004
Revenue Growth 5yr,0.1723526
Dividend Growth 5yr,
Short Int Current Month,11872390.0
Short Int Prev Month,14413478.0
Short Int Pct of Float,0.0101373
Days to Cover,1.43082
Float,1170.313
Shares Outstanding,1172.891
Institutions Holding Shares,2393.0
% Held by Institutions,0.842602
FCF Growth 5yr,0.2882321750753386
