,PYPL
% Below High,0.0152
% Held by Institutions,0.8426
52-Wk Range,['82.07 - 147.20']
Annual Dividend $,
Annual Dividend %,
Ask,144.7
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.1
Bid,144.52
Bid Size,400.0
Closing Price,144.96
Day Change $,-1.33
Day Change %,-0.0091
Day High,146.4
Day Low,142.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.58
Ex-dividend Date,No dividend
Historical Volatility,0.47200000000000003
Last (size),4.0
Last (time),4:15p ET 05/08/20
Market Cap,170.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",91.75
Prev Close,146.29
Shares Outstanding,1.2B
Short Interest,0.0101
Today's Open,143.25
Volume,13169422.0
Volume 10-day Avg,11748260.0
Volume Past Day,(Above Average)
