,PYPL
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,37.0
Growth 1yr Low Est,-0.09152542372881356
Growth 1yr High Est,0.1225806451612903
Growth 1yr Consensus Est,0.015527610716238371
Growth 2yr Low Est,0.14267012395648865
Growth 2yr High Est,0.20209492028179454
Growth 2yr Consensus Est,0.1723825221191416
Growth 5yr Low Est,0.3389013192503839
Growth 5yr High Est,0.23971434339842385
Growth 5yr Consensus Est,0.28930783132440385
Growth 5yr Actual/Est,0.21184635593563084
Growth 3yr Historic,0.1386689865158765
