,F,Rating Since
newConstructs,3,2020-05-08
researchTeam,reduce,2020-04-29
theStreet,sell,2020-04-29
cfra,2,2020-04-29
ford,4,2020-05-01
marketEdge opinion,neutralfromavoid,2020-05-01
marketEdge,2,2020-05-01
creditSuisse,neutral,2020-02-07
