,F
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-2.68141592920354
Growth 1yr High Est,-1.59375
Growth 1yr Consensus Est,-2.13758296460177
Growth 2yr Low Est,-1.8196553330228227
Growth 2yr High Est,-1.9876644736842106
Growth 2yr Consensus Est,-1.9036599033535166
Growth 5yr Low Est,-1.0086550251702306
Growth 5yr High Est,-1.0784175955105395
Growth 5yr Consensus Est,-1.043536310340385
Growth 5yr Actual/Est,-0.9496515092640341
Growth 3yr Historic,-0.08856957649092481
