,AXP
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.0
Growth 1yr High Est,-0.31355932203389825
Growth 1yr Consensus Est,-0.6567796610169492
Growth 2yr Low Est,inf
Growth 2yr High Est,0.264737093833139
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,inf
Growth 5yr High Est,0.22363069932101967
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,0.2717071371219491
Growth 3yr Historic,0.09185315766110191
