,AXP
Price/Earnings (TTM),13.13737
Price/Sales (TTM),1.55186
Price/Book (MRQ),3.3237
Price/Cash Flow (TTM),10.40155
5yr Low,50.27
5yr High,138.13
5yr Avg Return,0.048883333333333334
EPS Growth 5yr,0.0753581
Revenue Growth 5yr,0.054743700000000006
Dividend Growth 5yr,0.1030083
Short Int Current Month,11190429.0
Short Int Prev Month,11040360.0
Short Int Pct of Float,0.0135101
Days to Cover,1.5248
Float,804.1284
Shares Outstanding,804.9715
Institutions Holding Shares,2050.0
% Held by Institutions,0.8509990000000001
FCF Growth 5yr,0.1452976776406361
