,CMG
Price/Earnings (TTM),75.17936
Price/Sales (TTM),4.40017
Price/Book (MRQ),14.93059
Price/Cash Flow (TTM),45.03939
5yr Low,247.52
5yr High,940.28
5yr Avg Return,0.14529999999999996
EPS Growth 5yr,-0.0262194
Revenue Growth 5yr,0.0633939
Dividend Growth 5yr,
Short Int Current Month,1941621.0
Short Int Prev Month,1904769.0
Short Int Pct of Float,0.07096960000000001
Days to Cover,2.60479
Float,27.44159
Shares Outstanding,27.89074
Institutions Holding Shares,884.0
% Held by Institutions,0.9039490000000001
FCF Growth 5yr,0.29860536086564904
