,CMG
% Below High,0.0154
% Held by Institutions,0.9039
52-Wk Range,['415.00 - 940.28']
Annual Dividend $,
Annual Dividend %,
Ask,928.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,925.85
Bid Size,100.0
Change Since Close,2.17| |(0.23%)
Closing Price,925.83
Day Change $,28.32
Day Change %,0.0316
Day High,927.61
Day Low,893.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",11.94
Ex-dividend Date,No dividend
Historical Volatility,0.46799999999999997
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,928.0
Market Cap,25.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",75.18
Prev Close,897.51
Shares Outstanding,27.9M
Short Interest,0.071
Today's Open,900.0
Volume,739720.0
Volume 10-day Avg,462382.0
Volume Past Day,(Heavy Day)
