,CMG
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,36.0
Growth 1yr Low Est,-0.9663250366032211
Growth 1yr High Est,-0.1598897312198484
Growth 1yr Consensus Est,-0.5631073839115348
Growth 2yr Low Est,12.223359220828826
Growth 2yr High Est,0.4705063238896656
Growth 2yr Consensus Est,6.346932772359246
Growth 5yr Low Est,6.403743102477905
Growth 5yr High Est,0.49616865490257933
Growth 5yr Consensus Est,3.449955878690242
Growth 5yr Actual/Est,0.4256095450256831
Growth 3yr Historic,0.23087497491471004
