,ULTA
% Above Low,0.8547
% Held by Institutions,0.9051
52-Wk Range,['124.05 - 368.83']
Annual Dividend $,
Annual Dividend %,
Ask,233.7
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,230.31
Bid Size,500.0
Closing Price,230.07
Day Change $,7.91
Day Change %,0.0356
Day High,230.37
Day Low,223.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",12.16
Ex-dividend Date,No dividend
Historical Volatility,0.688
Last (size),10.0
Last (time),4:00p ET 05/08/20
Market Cap,13.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.93
Prev Close,222.16
Shares Outstanding,56.3M
Short Interest,0.0641
Today's Open,225.64
Volume,635423.0
Volume 10-day Avg,862991.0
Volume Past Day,(Light)
