,ULTA,Rating Since
newConstructs,1,2020-05-08
marketEdge opinion,neutralfromavoid,2020-05-08
marketEdge,3,2020-05-08
theStreet,hold,2019-10-01
cfra,4,2018-11-08
ford,3,2019-08-30
creditSuisse,outperform,2018-06-01
researchTeam,,
