,ULTA
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.7969798657718121
Growth 1yr High Est,0.0457190357439734
Growth 1yr Consensus Est,-0.37563041501391936
Growth 2yr Low Est,0.8763034555438459
Growth 2yr High Est,0.09122199799917274
Growth 2yr Consensus Est,0.48376272677150933
Growth 5yr Low Est,0.5431958742270159
Growth 5yr High Est,0.1389934862747238
Growth 5yr Consensus Est,0.34109468025086986
Growth 5yr Actual/Est,0.14029534538529356
Growth 3yr Historic,0.10677236298198023
