,ULTA
Price/Earnings (TTM),18.92775
Price/Sales (TTM),1.75115
Price/Book (MRQ),6.84721
Price/Cash Flow (TTM),12.93515
5yr Low,120.38
5yr High,368.83
5yr Avg Return,0.08671666666666666
EPS Growth 5yr,0.2500715
Revenue Growth 5yr,0.17944569999999999
Dividend Growth 5yr,
Short Int Current Month,3451647.0
Short Int Prev Month,3027553.0
Short Int Pct of Float,0.06412230000000001
Days to Cover,2.68772
Float,53.82881
Shares Outstanding,56.30948
Institutions Holding Shares,969.0
% Held by Institutions,0.9050870000000001
FCF Growth 5yr,0.9570679047280033
