,PHM
% Above Low,0.7453000000000001
% Held by Institutions,0.9209999999999999
52-Wk Range,['17.12 - 47.37']
Annual Dividend $,0.48
Annual Dividend %,0.017
Ask,36.89
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.3
Bid,27.62
Bid Size,100.0
Closing Price,29.88
Day Change $,1.7
Day Change %,0.0603
Day High,30.09
Day Low,28.47
Dividend Pay Date,2020-04-03 00:00:00
"EPS (TTM, GAAP)",3.83
Ex-dividend,2020-03-12 00:00:00
Ex-dividend Date,03/12/20
Historical Volatility,0.59
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,8.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.8
Prev Close,28.18
Shares Outstanding,268.1M
Short Interest,0.028999999999999998
Today's Open,28.84
Volume,3170705.0
Volume 10-day Avg,4839096.0
Volume Past Day,(Light)
