,PHM
Price/Earnings (TTM),7.80049
Price/Sales (TTM),0.76604
Price/Book (MRQ),1.44877
Price/Cash Flow (TTM),7.25678
5yr Low,14.61
5yr High,47.37
5yr Avg Return,0.13316666666666668
EPS Growth 5yr,0.237416
Revenue Growth 5yr,0.1189494
Dividend Growth 5yr,0.1708049
Short Int Current Month,7398898.0
Short Int Prev Month,6546641.0
Short Int Pct of Float,0.0289857
Days to Cover,1.47445
Float,262.2718
Shares Outstanding,269.4801
Institutions Holding Shares,822.0
% Held by Institutions,0.921022
FCF Growth 5yr,4.12412509622457
