,ALGN
Price/Earnings (TTM),8.95136
Price/Sales (TTM),6.98106
Price/Book (MRQ),5.89384
Price/Cash Flow (TTM),8.53732
5yr Low,52.01
5yr High,398.88
5yr Avg Return,0.32258333333333333
EPS Growth 5yr,0.2554571
Revenue Growth 5yr,0.2587411
Dividend Growth 5yr,
Short Int Current Month,5053871.0
Short Int Prev Month,3859697.0
Short Int Pct of Float,0.07006509999999999
Days to Cover,3.94088
Float,72.21012
Shares Outstanding,78.76296
Institutions Holding Shares,909.0
% Held by Institutions,0.8478950000000001
FCF Growth 5yr,0.2988172055612438
