,ALGN
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.9757009345794393
Growth 1yr High Est,-0.11948529411764708
Growth 1yr Consensus Est,-0.5475931143485432
Growth 2yr Low Est,21.165995686556435
Growth 2yr High Est,0.27428658049858773
Growth 2yr Consensus Est,10.72014113352751
Growth 5yr Low Est,14.14578775797977
Growth 5yr High Est,0.2151157848485209
Growth 5yr Consensus Est,7.180451771414146
Growth 5yr Actual/Est,0.30909222643276124
Growth 3yr Historic,0.09719130770999224
