,ALGN
% Above Low,0.6424
% Held by Institutions,0.8479000000000001
52-Wk Range,"['127.88', ' - ', '334.64']"
Annual Dividend $,
Annual Dividend %,
Ask,215.0
Ask Size,200.0
Ask close,210.16
B/A Ratio,0.5
B/A Size,100x200
Beta,2.0
Bid,205.04
Bid Size,100.0
Bid close,209.85
Change Since Close,2.45| |(1.17%)
Closing Price,210.03
Day Change $,-3.47
Day Change %,-0.0163
Day High,217.76
Day Low,207.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",23.85
Ex-dividend Date,No dividend
Historical Volatility,0.6559999999999999
Last (size),2.0
Last (time),3:59p ET 05/08/20
Last Trade,212.48
Market Cap,16.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,213.5
Shares Outstanding,78.8M
Short Interest,0.0701
Today's Open,217.29
Volume,844239.0
Volume 10-day Avg,1419821.0
Volume Past Day,(Light)
