,CRM
Price/Earnings (TTM),799.2285
Price/Sales (TTM),8.93207
Price/Book (MRQ),4.47752
Price/Cash Flow (TTM),67.36683
5yr Low,52.6
5yr High,195.72
5yr Avg Return,0.18056666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.2604808
Dividend Growth 5yr,
Short Int Current Month,14341924.0
Short Int Prev Month,13478052.0
Short Int Pct of Float,0.0167275
Days to Cover,2.04063
Float,862.6225
Shares Outstanding,898.8853
Institutions Holding Shares,2147.0
% Held by Institutions,0.825621
FCF Growth 5yr,0.4126455342032956
