,CRM
% Below High,0.1013
% Held by Institutions,0.8256
52-Wk Range,['115.29 - 195.72']
Annual Dividend $,
Annual Dividend %,
Ask,176.47
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.1
Bid,175.51
Bid Size,500.0
Change Since Close,-0.10| |(-0.06%)
Closing Price,175.9
Day Change $,6.0
Day Change %,0.0353
Day High,176.08
Day Low,171.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.21
Ex-dividend Date,No dividend
Historical Volatility,0.42
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,175.8
Market Cap,158.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",799.23
Prev Close,169.9
Shares Outstanding,898.9M
Short Interest,0.0167
Today's Open,172.95
Volume,5405882.0
Volume 10-day Avg,5457537.0
Volume Past Day,(Average)
