,ANTM
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.05110996386164168
Growth 1yr High Est,0.2208525937339496
Growth 1yr Consensus Est,0.13598127879779565
Growth 2yr Low Est,0.08572197603691123
Growth 2yr High Est,0.1752138441955403
Growth 2yr Consensus Est,0.13046791011622577
Growth 5yr Low Est,0.18100874712209708
Growth 5yr High Est,0.20548046391956215
Growth 5yr Consensus Est,0.19324460552082962
Growth 5yr Actual/Est,0.20439766537109805
Growth 3yr Historic,0.13579459803591554
