,ANTM
% Below High,0.12210000000000001
% Held by Institutions,0.9298000000000001
52-Wk Range,['171.03 - 312.48']
Annual Dividend $,3.8
Annual Dividend %,0.0143
Ask,278.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,270.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,274.33
Day Change $,8.6
Day Change %,0.032400000000000005
Day High,274.76
Day Low,268.81
Dividend Pay Date,2020-06-25 00:00:00
"EPS (TTM, GAAP)",18.48
Ex-dividend,2020-06-09 00:00:00
Ex-dividend Date,06/09/20
Historical Volatility,0.515
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,69.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.38
Prev Close,265.73
Shares Outstanding,252.1M
Short Interest,0.0132
Today's Open,270.5
Volume,968962.0
Volume 10-day Avg,1426827.0
Volume Past Day,(Light)
