,ANTM,Rating Since
newConstructs,2,2020-05-08
researchTeam,hold,2020-04-17
theStreet,buy,2010-09-20
cfra,4,2020-04-30
ford,3,2020-01-31
marketEdge opinion,neutralfromavoid,2020-05-01
marketEdge,2,2020-05-01
creditSuisse,outperform,2017-11-02
