,LH
Price/Earnings (TTM),49.2992
Price/Sales (TTM),1.34232
Price/Book (MRQ),2.21556
Price/Cash Flow (TTM),17.15642
5yr Low,97.79
5yr High,196.36
5yr Avg Return,0.07659999999999999
EPS Growth 5yr,0.0714539
Revenue Growth 5yr,0.13960530000000002
Dividend Growth 5yr,
Short Int Current Month,1404295.0
Short Int Prev Month,1538146.0
Short Int Pct of Float,0.014561200000000002
Days to Cover,1.45847
Float,96.45649
Shares Outstanding,97.10333
Institutions Holding Shares,1052.0
% Held by Institutions,0.931898
FCF Growth 5yr,0.09295479218144787
