,LH
% Below High,0.1482
% Held by Institutions,0.9319
52-Wk Range,['98.02 - 196.36']
Annual Dividend $,
Annual Dividend %,
Ask,169.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,167.36
Bid Size,100.0
Closing Price,167.26
Day Change $,7.08
Day Change %,0.044199999999999996
Day High,167.42
Day Low,160.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.25
Ex-dividend Date,No dividend
Historical Volatility,0.493
Last (size),491.0
Last (time),6:30p ET 05/08/20
Market Cap,16.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",49.3
Prev Close,160.18
Shares Outstanding,97.1M
Short Interest,0.0146
Today's Open,162.4
Volume,665216.0
Volume 10-day Avg,1391377.0
Volume Past Day,(Light)
