,BSX
Price/Earnings (TTM),12.19609
Price/Sales (TTM),4.80074
Price/Book (MRQ),3.75069
Price/Cash Flow (TTM),9.68499
5yr Low,14.18
5yr High,46.62
5yr Avg Return,0.15838333333333338
EPS Growth 5yr,
Revenue Growth 5yr,0.0778272
Dividend Growth 5yr,
Short Int Current Month,11999305.0
Short Int Prev Month,9860342.0
Short Int Pct of Float,0.008601600000000001
Days to Cover,0.95755
Float,1395.798
Shares Outstanding,1399.35
Institutions Holding Shares,1177.0
% Held by Institutions,0.936191
FCF Growth 5yr,-1.1595951159935303
