,ITW
% Below High,0.1564
% Held by Institutions,0.7829
52-Wk Range,['115.94 - 190.85']
Annual Dividend $,4.28
Annual Dividend %,0.0273
Ask,185.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,150.0
Bid Size,100.0
Closing Price,161.01
Day Change $,4.06
Day Change %,0.0259
Day High,161.62
Day Low,159.01
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",7.7
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.41000000000000003
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,51.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.37
Prev Close,156.95
Shares Outstanding,317.5M
Short Interest,0.028399999999999998
Today's Open,159.43
Volume,829932.0
Volume 10-day Avg,1517564.0
Volume Past Day,(Light)
