,WRK
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.5400516795865633
Growth 1yr High Est,-0.1080402010050252
Growth 1yr Consensus Est,-0.32404594029579425
Growth 2yr Low Est,-0.4610370757483378
Growth 2yr High Est,0.09527567414537474
Growth 2yr Consensus Est,-0.18288070080148153
Growth 5yr Low Est,-0.0870371121713577
Growth 5yr High Est,0.18529653759546555
Growth 5yr Consensus Est,0.04912971271205392
Growth 5yr Actual/Est,0.04151956420597125
Growth 3yr Historic,0.13354345919110097
