,WRK,Rating Since
researchTeam,reduce,2020-04-24
newConstructs,3,2020-05-08
marketEdge opinion,neutralfromavoid,2020-05-08
marketEdge,1,2020-05-08
cfra,4,2019-05-01
theStreet,hold,2020-02-04
ford,2,2020-04-17
creditSuisse,outperform,2019-05-02
