,WRK
% Above Low,0.25579999999999997
% Held by Institutions,0.8258
52-Wk Range,['21.50 - 44.39']
Annual Dividend $,0.8
Annual Dividend %,0.0319
Ask,27.35
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.6
Bid,27.0
Bid Size,200.0
Closing Price,27.0
Day Change $,1.91
Day Change %,0.0761
Day High,27.13
Day Low,25.5
Dividend Pay Date,2020-05-28 00:00:00
"EPS (TTM, GAAP)",3.29
Ex-dividend,2020-05-18 00:00:00
Ex-dividend Date,05/18/20
Historical Volatility,0.598
Last (size),800.0
Last (time),6:30p ET 05/08/20
Market Cap,7.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.21
Prev Close,25.09
Shares Outstanding,259.3M
Short Interest,0.0197
Today's Open,25.6
Volume,3535307.0
Volume 10-day Avg,3532637.0
Volume Past Day,(Average)
