,D
% Below High,0.1374
% Held by Institutions,0.7044
52-Wk Range,['57.79 - 90.89']
Annual Dividend $,3.76
Annual Dividend %,0.0481
Ask,78.75
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,77.5
Bid Size,100.0
Change Since Close,0.04| |(0.05%)
Closing Price,78.4
Day Change $,0.3
Day Change %,0.0038
Day High,78.9
Day Low,77.57
Dividend Pay Date,2020-06-20 00:00:00
"EPS (TTM, GAAP)",2.15
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.42200000000000004
Last (size),29.0
Last (time),6:30p ET 05/08/20
Last Trade,78.44
Market Cap,65.8B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",36.4
Prev Close,78.1
Shares Outstanding,839.3M
Short Interest,0.014199999999999999
Today's Open,78.72
Volume,3236758.0
Volume 10-day Avg,3175019.0
Volume Past Day,(Average)
