,LOW
% Below High,0.0986
% Held by Institutions,0.745
52-Wk Range,['60.00 - 126.73']
Annual Dividend $,2.2
Annual Dividend %,0.0197
Ask,114.8
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.3
Bid,114.54
Bid Size,100.0
Closing Price,114.23
Day Change $,2.31
Day Change %,0.0206
Day High,114.63
Day Low,112.1
Dividend Pay Date,2020-05-06 00:00:00
"EPS (TTM, GAAP)",5.47
Ex-dividend,2020-04-21 00:00:00
Ex-dividend Date,04/21/20
Historical Volatility,0.521
Last (size),11.0
Last (time),6:30p ET 05/08/20
Market Cap,86.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.46
Prev Close,111.92
Shares Outstanding,754.9M
Short Interest,0.011899999999999999
Today's Open,113.77
Volume,3951912.0
Volume 10-day Avg,4645680.0
Volume Past Day,(Below Average)
