,LOW
Price/Earnings (TTM),20.45632
Price/Sales (TTM),1.17112
Price/Book (MRQ),43.30373
Price/Cash Flow (TTM),14.84693
5yr Low,60.0
5yr High,126.73
5yr Avg Return,0.09113333333333333
EPS Growth 5yr,0.15155390000000002
Revenue Growth 5yr,0.0511436
Dividend Growth 5yr,0.20229399999999997
Short Int Current Month,8932382.0
Short Int Prev Month,10498864.0
Short Int Pct of Float,0.0118516
Days to Cover,1.42936
Float,753.6122
Shares Outstanding,754.9487
Institutions Holding Shares,2029.0
% Held by Institutions,0.745001
FCF Growth 5yr,-0.009423206915485094
