,L
Price/Earnings (TTM),
Price/Sales (TTM),0.59316
Price/Book (MRQ),0.50328
Price/Cash Flow (TTM),
5yr Low,28.52
5yr High,56.88
5yr Avg Return,-0.017333333333333326
EPS Growth 5yr,0.040871700000000004
Revenue Growth 5yr,0.0078335
Dividend Growth 5yr,0.0
Short Int Current Month,3676912.0
Short Int Prev Month,3392517.0
Short Int Pct of Float,0.0153288
Days to Cover,3.27385
Float,238.5468
Shares Outstanding,281.4305
Institutions Holding Shares,664.0
% Held by Institutions,0.672818
FCF Growth 5yr,0.12628365842476058
