,L
% Above Low,0.0877
% Held by Institutions,0.6728000000000001
52-Wk Range,['28.52 - 56.88']
Annual Dividend $,0.25
Annual Dividend %,0.008199999999999999
Ask,32.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,30.75
Bid Size,100.0
Closing Price,31.02
Day Change $,0.68
Day Change %,0.022400000000000003
Day High,31.34
Day Low,30.36
Dividend Pay Date,2020-03-10 00:00:00
"EPS (TTM, GAAP)",-0.41
Ex-dividend,2020-02-25 00:00:00
Ex-dividend Date,02/25/20
Historical Volatility,0.509
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,8.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,30.34
Shares Outstanding,281.4M
Short Interest,0.015300000000000001
Today's Open,30.99
Volume,920919.0
Volume 10-day Avg,1695244.0
Volume Past Day,(Light)
