,VRTX
Price/Earnings (TTM),47.13924
Price/Sales (TTM),14.61302
Price/Book (MRQ),10.89096
Price/Cash Flow (TTM),43.5394
5yr Low,71.46
5yr High,277.8
5yr Avg Return,0.21396666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.4829613
Dividend Growth 5yr,
Short Int Current Month,3416411.0
Short Int Prev Month,4016436.0
Short Int Pct of Float,0.0131952
Days to Cover,1.57305
Float,258.8202
Shares Outstanding,259.2767
Institutions Holding Shares,1165.0
% Held by Institutions,0.9624250000000001
FCF Growth 5yr,0.42262860444673755
