,VRTX
% Below High,0.0222
% Held by Institutions,0.9623999999999999
52-Wk Range,['164.07 - 277.80']
Annual Dividend $,
Annual Dividend %,
Ask,272.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,270.0
Bid Size,100.0
Closing Price,271.63
Day Change $,1.62
Day Change %,0.006
Day High,274.41
Day Low,268.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.76
Ex-dividend Date,No dividend
Historical Volatility,0.383
Last (size),36.0
Last (time),4:15p ET 05/08/20
Market Cap,70.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.14
Prev Close,270.01
Shares Outstanding,259.3M
Short Interest,0.0132
Today's Open,269.5
Volume,1084271.0
Volume 10-day Avg,2006846.0
Volume Past Day,(Light)
