,AFL
% Above Low,0.5717
% Held by Institutions,0.6131
52-Wk Range,['23.07 - 57.18']
Annual Dividend $,1.12
Annual Dividend %,0.031200000000000002
Ask,36.61
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.9
Bid,36.13
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,36.26
Day Change $,0.39
Day Change %,0.0109
Day High,36.87
Day Low,35.46
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",3.97
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.519
Last (size),8400.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,26.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.03
Prev Close,35.87
Shares Outstanding,717.5M
Short Interest,0.015600000000000001
Today's Open,36.65
Volume,2570670.0
Volume 10-day Avg,3524024.0
Volume Past Day,(Light)
