,AFL
Price/Earnings (TTM),9.02899
Price/Sales (TTM),1.17833
Price/Book (MRQ),0.976
Price/Cash Flow (TTM),
5yr Low,23.07
5yr High,57.18
5yr Avg Return,0.04538333333333333
EPS Growth 5yr,0.063735
Revenue Growth 5yr,-0.0037273000000000002
Dividend Growth 5yr,0.07565380000000001
Short Int Current Month,10288873.0
Short Int Prev Month,10918796.0
Short Int Pct of Float,0.015577399999999998
Days to Cover,2.43466
Float,655.8115
Shares Outstanding,717.5079
Institutions Holding Shares,1321.0
% Held by Institutions,0.6130680000000001
FCF Growth 5yr,
