,AFL
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.0547945205479452
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,-0.0273972602739726
Growth 2yr Low Est,-0.018943153993779327
Growth 2yr High Est,0.022471910112359605
Growth 2yr Consensus Est,0.0017643780592901392
Growth 5yr Low Est,-0.08798180364144467
Growth 5yr High Est,-0.06749160863513648
Growth 5yr Consensus Est,-0.07773670613829058
Growth 5yr Actual/Est,0.06868676952468675
Growth 3yr Historic,0.06740495775900401
