,QCOM
Price/Earnings (TTM),23.90994
Price/Sales (TTM),4.52171
Price/Book (MRQ),29.81646
Price/Cash Flow (TTM),16.65274
5yr Low,42.24
5yr High,96.17
5yr Avg Return,0.06205000000000001
EPS Growth 5yr,-0.0395637
Revenue Growth 5yr,-0.0587068
Dividend Growth 5yr,0.0999836
Short Int Current Month,15018787.0
Short Int Prev Month,14273490.0
Short Int Pct of Float,0.0131541
Days to Cover,1.40602
Float,1123.625
Shares Outstanding,1124.928
Institutions Holding Shares,2082.0
% Held by Institutions,0.7724070000000001
FCF Growth 5yr,0.1905611563595582
