,QCOM
% Below High,0.1623
% Held by Institutions,0.7724
52-Wk Range,['58.00 - 96.17']
Annual Dividend $,2.6
Annual Dividend %,0.033
Ask,80.66
Ask Size,1500.0
B/A Ratio,0.6
B/A Size,900x1500
Beta,1.4
Bid,80.6
Bid Size,900.0
Closing Price,80.56
Day Change $,1.73
Day Change %,0.0219
Day High,81.09
Day Low,79.36
Dividend Pay Date,2020-06-25 00:00:00
"EPS (TTM, GAAP)",3.37
Ex-dividend,2020-06-03 00:00:00
Ex-dividend Date,06/03/20
Historical Volatility,0.48200000000000004
Last (size),50.0
Last (time),4:15p ET 05/08/20
Market Cap,90.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.91
Prev Close,78.83
Shares Outstanding,1.1B
Short Interest,0.0132
Today's Open,79.7
Volume,7892235.0
Volume 10-day Avg,8769159.0
Volume Past Day,(Below Average)
