,MAR
Price/Earnings (TTM),22.6535
Price/Sales (TTM),1.32923
Price/Book (MRQ),39.62663
Price/Cash Flow (TTM),16.63278
5yr Low,46.56
5yr High,153.39
5yr Avg Return,0.08535
EPS Growth 5yr,0.084153
Revenue Growth 5yr,0.08737
Dividend Growth 5yr,
Short Int Current Month,13674324.0
Short Int Prev Month,12727325.0
Short Int Pct of Float,0.0509734
Days to Cover,1.71183
Float,268.4185
Shares Outstanding,324.2212
Institutions Holding Shares,1090.0
% Held by Institutions,0.6306309999999999
FCF Growth 5yr,0.01045120607404475
