,MAR
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-1.0170068027210883
Growth 1yr High Est,-0.38215488215488225
Growth 1yr Consensus Est,-0.6995808424379852
Growth 2yr Low Est,-13.008503401360542
Growth 2yr High Est,0.27622501123863513
Growth 2yr Consensus Est,-6.366139195060954
Growth 5yr Low Est,-6.3833544893618805
Growth 5yr High Est,0.23332092205330238
Growth 5yr Consensus Est,-3.075016783654289
Growth 5yr Actual/Est,0.2750277215250291
Growth 3yr Historic,0.09762387537118286
