,MAR
% Above Low,0.8721
% Held by Institutions,0.6306
52-Wk Range,['46.56 - 153.39']
Annual Dividend $,
Annual Dividend %,
Ask,86.95
Ask Size,800.0
B/A Ratio,0.875
B/A Size,700x800
Beta,1.6
Bid,86.85
Bid Size,700.0
Closing Price,87.17
Day Change $,1.19
Day Change %,0.0138
Day High,88.5
Day Low,85.65
Dividend Pay Date,03/31/20
"EPS (TTM, GAAP)",3.8
Ex-dividend Date,02/27/20
Historical Volatility,0.537
Last (size),2.0
Last (time),3:59p ET 05/08/20
Market Cap,28.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.65
Prev Close,85.98
Shares Outstanding,324.2M
Short Interest,0.051
Today's Open,88.08
Volume,4269552.0
Volume 10-day Avg,4455110.0
Volume Past Day,(Average)
