,TMUS
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.6675392670157068
Growth 1yr High Est,-0.13267813267813278
Growth 1yr Consensus Est,-0.40010869984691977
Growth 2yr Low Est,-0.7550294760275384
Growth 2yr High Est,-0.08616909466767825
Growth 2yr Consensus Est,-0.4205992853476084
Growth 5yr Low Est,-0.42856665923203424
Growth 5yr High Est,0.007070065920472583
Growth 5yr Consensus Est,-0.21074829665578085
Growth 5yr Actual/Est,-0.036211603001394366
Growth 3yr Historic,0.10907024248813912
