,TMUS
% Below High,0.0279
% Held by Institutions,0.48229999999999995
52-Wk Range,['63.50 - 101.35']
Annual Dividend $,
Annual Dividend %,
Ask,98.75
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.3
Bid,98.01
Bid Size,100.0
Closing Price,98.52
Day Change $,3.23
Day Change %,0.0339
Day High,98.77
Day Low,95.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.07
Ex-dividend Date,No dividend
Historical Volatility,0.386
Last (size),22.0
Last (time),4:15p ET 05/08/20
Market Cap,121.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.23
Prev Close,95.29
Shares Outstanding,1.2B
Short Interest,0.0206
Today's Open,96.64
Volume,4851497.0
Volume 10-day Avg,4293424.0
Volume Past Day,(Above Average)
