,TMUS
Price/Earnings (TTM),24.22812
Price/Sales (TTM),2.70364
Price/Book (MRQ),2.92778
Price/Cash Flow (TTM),11.88359
5yr Low,33.23
5yr High,101.35
5yr Avg Return,0.20421666666666666
EPS Growth 5yr,0.6771107999999999
Revenue Growth 5yr,0.0876421
Dividend Growth 5yr,
Short Int Current Month,15119111.0
Short Int Prev Month,17293426.0
Short Int Pct of Float,0.020615
Days to Cover,2.15601
Float,692.2045
Shares Outstanding,1235.764
Institutions Holding Shares,1007.0
% Held by Institutions,0.482258
FCF Growth 5yr,0.5012213838072974
