,NUE
% Above Low,0.5332
% Held by Institutions,0.7851
52-Wk Range,['27.53 - 58.70']
Annual Dividend $,1.61
Annual Dividend %,0.0394
Ask,42.99
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,41.69
Bid Size,500.0
Closing Price,42.2
Day Change $,1.29
Day Change %,0.0315
Day High,42.27
Day Low,41.48
Dividend Pay Date,2020-05-11 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.446
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,12.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,40.91
Shares Outstanding,301.1M
Short Interest,0.015600000000000001
Today's Open,41.51
Volume,1615125.0
Volume 10-day Avg,2862864.0
Volume Past Day,(Light)
