,HLT
Price/Earnings (TTM),27.96686
Price/Sales (TTM),2.17588
Price/Book (MRQ),
Price/Cash Flow (TTM),18.16802
5yr Low,44.3
5yr High,115.48
5yr Avg Return,0.013616666666666671
EPS Growth 5yr,0.0820904
Revenue Growth 5yr,-0.0208475
Dividend Growth 5yr,
Short Int Current Month,12630915.0
Short Int Prev Month,10863471.0
Short Int Pct of Float,0.046316300000000005
Days to Cover,2.01795
Float,273.2587
Shares Outstanding,277.4477
Institutions Holding Shares,797.0
% Held by Institutions,1.0131050000000001
FCF Growth 5yr,0.05420077680047641
