,CAT
Price/Earnings (TTM),11.38354
Price/Sales (TTM),1.13931
Price/Book (MRQ),4.09565
Price/Cash Flow (TTM),7.42673
5yr Low,56.36
5yr High,173.24
5yr Avg Return,0.09628333333333332
EPS Growth 5yr,0.2172643
Revenue Growth 5yr,-0.005067
Dividend Growth 5yr,0.0777144
Short Int Current Month,10219671.0
Short Int Prev Month,9059253.0
Short Int Pct of Float,0.0181977
Days to Cover,1.66468
Float,540.2311
Shares Outstanding,541.2393
Institutions Holding Shares,1995.0
% Held by Institutions,0.673774
FCF Growth 5yr,0.05547099361398618
