,CAT
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.8045112781954887
Growth 1yr High Est,-0.45545454545454545
Growth 1yr Consensus Est,-0.6299829118250171
Growth 2yr Low Est,-0.14023640832851364
Growth 2yr High Est,0.13370845348307786
Growth 2yr Consensus Est,-0.0032639774227178897
Growth 5yr Low Est,-0.11351449601170638
Growth 5yr High Est,0.06575209944800287
Growth 5yr Consensus Est,-0.023881198281851757
Growth 5yr Actual/Est,0.12201845188040475
Growth 3yr Historic,0.15413842598350122
