,CNC
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.01839080459770126
Growth 1yr High Est,0.11135857461024501
Growth 1yr Consensus Est,0.06487468960397313
Growth 2yr Low Est,0.10738953322435851
Growth 2yr High Est,0.16589972818688603
Growth 2yr Consensus Est,0.13664463070562227
Growth 5yr Low Est,0.06619476661217918
Growth 5yr High Est,0.09350466618305525
Growth 5yr Consensus Est,0.07984971639761722
Growth 5yr Actual/Est,0.23706492454230127
Growth 3yr Historic,0.16333736884584338
