,CNC
Price/Earnings (TTM),32.57111
Price/Sales (TTM),0.45509
Price/Book (MRQ),1.5889
Price/Cash Flow (TTM),23.21188
5yr Low,23.68
5yr High,74.7
5yr Avg Return,0.15568333333333328
EPS Growth 5yr,0.230615
Revenue Growth 5yr,0.35139119999999996
Dividend Growth 5yr,
Short Int Current Month,10500231.0
Short Int Prev Month,9472549.0
Short Int Pct of Float,0.0182415
Days to Cover,2.3838
Float,568.1313
Shares Outstanding,579.1294
Institutions Holding Shares,985.0
% Held by Institutions,0.783091
FCF Growth 5yr,0.320580110315194
