,CNC
% Below High,0.11810000000000001
% Held by Institutions,0.7831
52-Wk Range,['41.62 - 74.70']
Annual Dividend $,
Annual Dividend %,
Ask,66.88
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,65.41
Bid Size,100.0
Closing Price,65.88
Day Change $,1.27
Day Change %,0.0197
Day High,66.17
Day Low,65.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.98
Ex-dividend Date,No dividend
Historical Volatility,0.527
Last (size),80.0
Last (time),6:30p ET 05/08/20
Market Cap,38.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",32.57
Prev Close,64.61
Shares Outstanding,579.1M
Short Interest,0.0182
Today's Open,65.57
Volume,1961963.0
Volume 10-day Avg,3861819.0
Volume Past Day,(Light)
