,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,2.52,,,4.9,,5.04,,4.970000000000001,2.52,,
Year ending 12/2018,Neutral,3.54,,0.40476190476190466,7.0,0.4285714285714284,7.11,0.4107142857142858,7.055,3.54,0.40476190476190466,0.4196428571428571
Year ending 12/2019,Neutral,4.42,,0.24858757062146886,4.35,-0.37857142857142867,4.49,-0.36849507735583686,4.42,4.42,0.24858757062146886,-0.37353325296363277
Year ending 12/2020,Neutral,,4.71,0.0,4.43,0.01839080459770126,4.99,0.11135857461024501,4.71,4.71,0.06561085972850678,0.06487468960397313
Year ending 12/2021,Neutral,,5.79,0.0,5.3,0.19638826185101577,6.09,0.22044088176352705,5.79,5.79,0.2292993630573248,0.2084145718072714
