,EL
% Above Low,0.2638
% Held by Institutions,0.8809999999999999
52-Wk Range,['137.01 - 220.42']
Annual Dividend $,
Annual Dividend %,
Ask,174.9
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.8
Bid,173.16
Bid Size,300.0
Closing Price,173.15
Day Change $,1.21
Day Change %,0.006999999999999999
Day High,176.0
Day Low,172.52
Dividend Pay Date,03/16/20
"EPS (TTM, GAAP)",3.54
Ex-dividend Date,02/27/20
Historical Volatility,0.40299999999999997
Last (size),1700.0
Last (time),6:30p ET 05/08/20
Market Cap,62.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",48.54
Prev Close,171.94
Shares Outstanding,360.0M
Short Interest,0.0152
Today's Open,175.18
Volume,1368176.0
Volume 10-day Avg,1755852.0
Volume Past Day,(Light)
