,EL
Next Earnings Announcement,2020-08-20 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.2543352601156069
Growth 1yr High Est,-0.08598130841121499
Growth 1yr Consensus Est,-0.17015828426341095
Growth 2yr Low Est,-0.03672835357201537
Growth 2yr High Est,0.08379871184756232
Growth 2yr Consensus Est,0.023535179137773476
Growth 5yr Low Est,0.1070196912449192
Growth 5yr High Est,0.16366519815071848
Growth 5yr Consensus Est,0.13534244469781884
Growth 5yr Actual/Est,0.1269793668969591
Growth 3yr Historic,0.1209368230700908
